Unnamed: 0,actual_price,average_rating,brand,category,description,discount,pid,selling_price,sub_category,title,discount_rate,sales,repeat_rate,text,fabric,color,main_color,style
0,2999.0,3.9,Yorker,Clothing and Accessories,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",69% off,TKPFCZ9EA7H5FYZH,921.0,Bottomwear,Solid Men Multicolor Track Pants,0.3071023674558186,2861,0.0327,"Solid Men Multicolor Track Pants Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",100% rich comb,Multicolor,white,style_2
1,1499.0,3.9,Yorker,Clothing and Accessories,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",66% off,TKPFCZ9EJZV2UVRZ,499.0,Bottomwear,Solid Men Blue Track Pants,0.3328885923949299,3996,0.0346,"Solid Men Blue Track Pants Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",100% rich comb,Blue,white,style_2
2,2999.0,3.9,Yorker,Clothing and Accessories,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",68% off,TKPFCZ9EHFCY5Z4Y,931.0,Bottomwear,Solid Men Multicolor Track Pants,0.3104368122707569,3532,0.0365,"Solid Men Multicolor Track Pants Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",100% rich comb,Multicolor,white,style_2
3,2999.0,3.9,Yorker,Clothing and Accessories,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",69% off,TKPFCZ9ESZZ7YWEF,911.0,Bottomwear,Solid Men Multicolor Track Pants,0.3037679226408803,3270,0.0277,"Solid Men Multicolor Track Pants Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",100% rich comb,Multicolor,white,style_2
4,2999.0,3.9,Yorker,Clothing and Accessories,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",68% off,TKPFCZ9EVXKBSUD7,943.0,Bottomwear,"Solid Men Brown, Grey Track Pants",0.3144381460486829,2467,0.0316,"Solid Men Brown, Grey Track Pants Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",100% rich comb,"Brown, Grey",white,style_2
5,4499.0,3.8,Yorker,Clothing and Accessories,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",74% off,TKPFCZ9EFK9DNWDA,1169.0,Bottomwear,Solid Men Multicolor Track Pants,0.2598355190042231,2346,0.0284,"Solid Men Multicolor Track Pants Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",100% rich comb,Multicolor,white,style_2
6,1499.0,3.8,Yorker,Clothing and Accessories,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",68% off,TKPFDABN3GXYPFHE,466.0,Bottomwear,Solid Men Dark Blue Track Pants,0.3108739159439626,2246,0.0397,"Solid Men Dark Blue Track Pants Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",100% rich comb,Dark Blue,white,style_2
7,1499.0,3.8,Yorker,Clothing and Accessories,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",63% off,TKPFCZ9ESGZYT8NH,545.0,Bottomwear,Solid Men Beige Track Pants,0.3635757171447631,3854,0.0338,"Solid Men Beige Track Pants Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",100% rich comb,Beige,gray,style_2
8,1499.0,3.8,Yorker,Clothing and Accessories,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",67% off,TKPFCZ9DYU33FFXS,489.0,Bottomwear,Solid Men Black Track Pants,0.3262174783188792,3274,0.0378,"Solid Men Black Track Pants Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",100% rich comb,Black,white,style_2
9,1499.0,3.7,Yorker,Clothing and Accessories,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",64% off,TKPFDABN4NQFVKZY,531.0,Bottomwear,Solid Men Grey Track Pants,0.3542361574382922,3481,0.0323,"Solid Men Grey Track Pants Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India",100% rich comb,Grey,beige,style_2
