pid,image_path,main_color,main_color_rgb,style_cluster
TKPFCZ9EA7H5FYZH,data\images\TKPFCZ9EA7H5FYZH.jpeg,white,"252,252,252",2
TKPFCZ9EJZV2UVRZ,data\images\TKPFCZ9EJZV2UVRZ.jpeg,white,"251,252,252",2
TKPFCZ9EHFCY5Z4Y,data\images\TKPFCZ9EHFCY5Z4Y.jpeg,white,"252,252,252",2
TKPFCZ9ESZZ7YWEF,data\images\TKPFCZ9ESZZ7YWEF.jpeg,white,"251,250,250",2
TKPFCZ9EVXKBSUD7,data\images\TKPFCZ9EVXKBSUD7.jpeg,white,"253,253,252",2
TKPFCZ9EFK9DNWDA,data\images\TKPFCZ9EFK9DNWDA.jpeg,white,"252,251,251",2
TKPFDABN3GXYPFHE,data\images\TKPFDABN3GXYPFHE.jpeg,white,"252,252,252",2
TKPFCZ9ESGZYT8NH,data\images\TKPFCZ9ESGZYT8NH.jpeg,gray,"193,168,150",3
TKPFCZ9DYU33FFXS,data\images\TKPFCZ9DYU33FFXS.jpeg,white,"248,245,244",2
TKPFDABN4NQFVKZY,data\images\TKPFDABN4NQFVKZY.jpeg,beige,"205,204,215",3
TKPFCZ9ENWGMX23W,data\images\TKPFCZ9ENWGMX23W.jpeg,white,"251,251,251",2
TKPFCZ9EHCNAPKPU,data\images\TKPFCZ9EHCNAPKPU.jpeg,white,"247,245,245",2
TKPFDACEXAWUHGR7,data\images\TKPFDACEXAWUHGR7.jpeg,white,"253,253,253",2
TKPFCZ9ETR6YVXNG,data\images\TKPFCZ9ETR6YVXNG.jpeg,beige,"198,194,196",3
TKPFD3K6K5TNYZGF,data\images\TKPFD3K6K5TNYZGF.jpeg,white,"254,253,253",2
TKPFCZ9EGGYENTZS,data\images\TKPFCZ9EGGYENTZS.jpeg,white,"251,250,249",2
TKPFD3K6ZMN79MPH,data\images\TKPFD3K6ZMN79MPH.jpeg,white,"254,254,254",2
TKPFD3K6UZBYDZNY,data\images\TKPFD3K6UZBYDZNY.jpeg,black,"37,37,40",3
TKPFD3K62JB9PEMR,data\images\TKPFD3K62JB9PEMR.jpeg,gray,"111,86,85",3
TKPFCZ9EZDPZR5AH,data\images\TKPFCZ9EZDPZR5AH.jpeg,white,"247,247,247",2
