pid,image_path,main_color,main_color_rgb,style_cluster
TKPFCZ9EA7H5FYZH,data\images\TKPFCZ9EA7H5FYZH.jpeg,white,"252,252,252",3
TKPFCZ9EJZV2UVRZ,data\images\TKPFCZ9EJZV2UVRZ.jpeg,white,"251,252,252",1
TKPFCZ9EHFCY5Z4Y,data\images\TKPFCZ9EHFCY5Z4Y.jpeg,white,"252,252,252",3
TKPFCZ9ESZZ7YWEF,data\images\TKPFCZ9ESZZ7YWEF.jpeg,white,"251,250,250",3
TKPFCZ9EVXKBSUD7,data\images\TKPFCZ9EVXKBSUD7.jpeg,white,"253,253,252",3
TKPFCZ9EFK9DNWDA,data\images\TKPFCZ9EFK9DNWDA.jpeg,white,"252,251,251",3
TKPFDABN3GXYPFHE,data\images\TKPFDABN3GXYPFHE.jpeg,white,"252,252,252",1
TKPFCZ9ESGZYT8NH,data\images\TKPFCZ9ESGZYT8NH.jpeg,gray,"193,168,150",1
TKPFCZ9DYU33FFXS,data\images\TKPFCZ9DYU33FFXS.jpeg,white,"248,245,244",1
TKPFDABN4NQFVKZY,data\images\TKPFDABN4NQFVKZY.jpeg,beige,"205,204,215",1
TKPFCZ9ENWGMX23W,data\images\TKPFCZ9ENWGMX23W.jpeg,white,"251,251,251",3
TKPFCZ9EHCNAPKPU,data\images\TKPFCZ9EHCNAPKPU.jpeg,white,"247,245,245",3
TKPFDACEXAWUHGR7,data\images\TKPFDACEXAWUHGR7.jpeg,white,"253,253,253",3
TKPFCZ9ETR6YVXNG,data\images\TKPFCZ9ETR6YVXNG.jpeg,beige,"198,194,196",1
TKPFD3K6K5TNYZGF,data\images\TKPFD3K6K5TNYZGF.jpeg,white,"254,253,253",3
TKPFCZ9EGGYENTZS,data\images\TKPFCZ9EGGYENTZS.jpeg,white,"251,250,249",3
TKPFD3K6ZMN79MPH,data\images\TKPFD3K6ZMN79MPH.jpeg,white,"254,254,254",3
TKPFD3K6UZBYDZNY,data\images\TKPFD3K6UZBYDZNY.jpeg,black,"37,37,40",1
TKPFD3K62JB9PEMR,data\images\TKPFD3K62JB9PEMR.jpeg,gray,"111,86,85",1
TKPFCZ9EZDPZR5AH,data\images\TKPFCZ9EZDPZR5AH.jpeg,white,"247,247,247",3
TKPFCZ9EVM2GZ4GF,data\images\TKPFCZ9EVM2GZ4GF.jpeg,white,"253,252,252",1
TKPFCZ9E2UC3DR3F,data\images\TKPFCZ9E2UC3DR3F.jpeg,white,"252,252,252",3
TKPFCZ9ECDYYDNKA,data\images\TKPFCZ9ECDYYDNKA.jpeg,white,"253,252,251",1
SOCFVCCYUDEN2AVH,data\images\SOCFVCCYUDEN2AVH.jpeg,white,"252,252,252",2
CTPFVZTEMJWEJJJV,data\images\CTPFVZTEMJWEJJJV.jpeg,white,"252,251,250",2
CTPFVZHSA7G4PFC5,data\images\CTPFVZHSA7G4PFC5.jpeg,white,"250,250,250",2
CTPFVZD8CNSZ3AMR,data\images\CTPFVZD8CNSZ3AMR.jpeg,white,"245,243,241",0
CTPFVQNNHGYFTGFN,data\images\CTPFVQNNHGYFTGFN.jpeg,white,"252,252,252",2
CTPFVZT3UFN99ZTH,data\images\CTPFVZT3UFN99ZTH.jpeg,white,"253,252,249",2
CTPFVSU7CXFCXEHD,data\images\CTPFVSU7CXFCXEHD.jpeg,white,"251,251,251",2
CTPFVZGRKPGSFPUU,data\images\CTPFVZGRKPGSFPUU.jpeg,white,"248,248,248",0
CTPFVZT7EFZWVRUP,data\images\CTPFVZT7EFZWVRUP.jpeg,black,"32,36,41",4
CTPFVXGGEHH6YY8G,data\images\CTPFVXGGEHH6YY8G.jpeg,white,"252,250,250",2
CTPFVZT2GYAVYEE6,data\images\CTPFVZT2GYAVYEE6.jpeg,black,"45,36,32",4
CTPFVZHFTSBTMH9M,data\images\CTPFVZHFTSBTMH9M.jpeg,white,"243,243,245",0
CTPFVZTPGHGVFCFE,data\images\CTPFVZTPGHGVFCFE.jpeg,beige,"239,236,235",0
CTPFVZTCQC7ZFWSH,data\images\CTPFVZTCQC7ZFWSH.jpeg,white,"252,251,251",2
CTPFVSSQHD96FH9Z,data\images\CTPFVSSQHD96FH9Z.jpeg,beige,"239,235,236",0
CTPFVZEYHCRQ27Y2,data\images\CTPFVZEYHCRQ27Y2.jpeg,white,"248,245,241",0
CTPFVZFYR8KGYYBJ,data\images\CTPFVZFYR8KGYYBJ.jpeg,beige,"243,242,241",0
CTPFVQNGFCRGYK2H,data\images\CTPFVQNGFCRGYK2H.jpeg,white,"252,252,251",2
CTPFVPN4CUY6QZXD,data\images\CTPFVPN4CUY6QZXD.jpeg,black,"29,27,30",2
CTPFVPMUAHEJX8EW,data\images\CTPFVPMUAHEJX8EW.jpeg,beige,"240,238,240",0
CTPFVPMZV7RCDNVR,data\images\CTPFVPMZV7RCDNVR.jpeg,white,"252,250,250",2
CTPFVZT46SYT5GTB,data\images\CTPFVZT46SYT5GTB.jpeg,white,"252,252,252",2
CTPFVZT9ZYJB4WJZ,data\images\CTPFVZT9ZYJB4WJZ.jpeg,black,"40,30,35",4
CTPFVTZ9GYNEDU54,data\images\CTPFVTZ9GYNEDU54.jpeg,white,"253,252,253",2
CTPFVZTZNFBGXUMD,data\images\CTPFVZTZNFBGXUMD.jpeg,white,"252,251,252",2
