pid,image_path,main_color,main_color_rgb,style_cluster
TKPFCZ9EA7H5FYZH,data\images\TKPFCZ9EA7H5FYZH.jpeg,white,"252,252,252",2
TKPFCZ9EJZV2UVRZ,data\images\TKPFCZ9EJZV2UVRZ.jpeg,white,"251,252,252",2
TKPFCZ9EHFCY5Z4Y,data\images\TKPFCZ9EHFCY5Z4Y.jpeg,white,"252,252,252",2
TKPFCZ9ESZZ7YWEF,data\images\TKPFCZ9ESZZ7YWEF.jpeg,white,"251,250,250",2
TKPFCZ9EVXKBSUD7,data\images\TKPFCZ9EVXKBSUD7.jpeg,white,"253,253,252",2
TKPFCZ9EFK9DNWDA,data\images\TKPFCZ9EFK9DNWDA.jpeg,white,"252,251,251",2
TKPFDABN3GXYPFHE,data\images\TKPFDABN3GXYPFHE.jpeg,white,"252,252,252",2
TKPFCZ9ESGZYT8NH,data\images\TKPFCZ9ESGZYT8NH.jpeg,gray,"193,168,150",3
TKPFCZ9DYU33FFXS,data\images\TKPFCZ9DYU33FFXS.jpeg,white,"248,245,244",2
TKPFDABN4NQFVKZY,data\images\TKPFDABN4NQFVKZY.jpeg,beige,"205,204,215",3
TKPFCZ9ENWGMX23W,data\images\TKPFCZ9ENWGMX23W.jpeg,white,"251,251,251",2
TKPFCZ9EHCNAPKPU,data\images\TKPFCZ9EHCNAPKPU.jpeg,white,"247,245,245",2
TKPFDACEXAWUHGR7,data\images\TKPFDACEXAWUHGR7.jpeg,white,"253,253,253",2
TKPFCZ9ETR6YVXNG,data\images\TKPFCZ9ETR6YVXNG.jpeg,beige,"198,194,196",3
TKPFD3K6K5TNYZGF,data\images\TKPFD3K6K5TNYZGF.jpeg,white,"254,253,253",2
TKPFCZ9EGGYENTZS,data\images\TKPFCZ9EGGYENTZS.jpeg,white,"251,250,249",2
TKPFD3K6ZMN79MPH,data\images\TKPFD3K6ZMN79MPH.jpeg,white,"254,254,254",2
TKPFD3K6UZBYDZNY,data\images\TKPFD3K6UZBYDZNY.jpeg,black,"37,37,40",3
TKPFD3K62JB9PEMR,data\images\TKPFD3K62JB9PEMR.jpeg,gray,"111,86,85",3
TKPFCZ9EZDPZR5AH,data\images\TKPFCZ9EZDPZR5AH.jpeg,white,"247,247,247",2
TKPFCZ9EVM2GZ4GF,data\images\TKPFCZ9EVM2GZ4GF.jpeg,white,"253,252,252",2
TKPFCZ9E2UC3DR3F,data\images\TKPFCZ9E2UC3DR3F.jpeg,white,"252,252,252",2
TKPFCZ9ECDYYDNKA,data\images\TKPFCZ9ECDYYDNKA.jpeg,white,"253,252,251",3
SOCFVCCYUDEN2AVH,data\images\SOCFVCCYUDEN2AVH.jpeg,white,"252,252,252",1
CTPFVZTEMJWEJJJV,data\images\CTPFVZTEMJWEJJJV.jpeg,white,"252,251,250",1
CTPFVZHSA7G4PFC5,data\images\CTPFVZHSA7G4PFC5.jpeg,white,"250,250,250",1
CTPFVZD8CNSZ3AMR,data\images\CTPFVZD8CNSZ3AMR.jpeg,white,"245,243,241",4
CTPFVQNNHGYFTGFN,data\images\CTPFVQNNHGYFTGFN.jpeg,white,"252,252,252",1
CTPFVZT3UFN99ZTH,data\images\CTPFVZT3UFN99ZTH.jpeg,white,"253,252,249",1
CTPFVSU7CXFCXEHD,data\images\CTPFVSU7CXFCXEHD.jpeg,white,"251,251,251",1
CTPFVZGRKPGSFPUU,data\images\CTPFVZGRKPGSFPUU.jpeg,white,"248,248,248",4
CTPFVZT7EFZWVRUP,data\images\CTPFVZT7EFZWVRUP.jpeg,black,"32,36,41",1
CTPFVXGGEHH6YY8G,data\images\CTPFVXGGEHH6YY8G.jpeg,white,"252,250,250",1
CTPFVZT2GYAVYEE6,data\images\CTPFVZT2GYAVYEE6.jpeg,black,"45,36,32",1
CTPFVZHFTSBTMH9M,data\images\CTPFVZHFTSBTMH9M.jpeg,white,"243,243,245",4
CTPFVZTPGHGVFCFE,data\images\CTPFVZTPGHGVFCFE.jpeg,beige,"239,236,235",4
CTPFVZTCQC7ZFWSH,data\images\CTPFVZTCQC7ZFWSH.jpeg,white,"252,251,251",1
CTPFVSSQHD96FH9Z,data\images\CTPFVSSQHD96FH9Z.jpeg,beige,"239,235,236",4
CTPFVZEYHCRQ27Y2,data\images\CTPFVZEYHCRQ27Y2.jpeg,white,"248,245,241",4
CTPFVZFYR8KGYYBJ,data\images\CTPFVZFYR8KGYYBJ.jpeg,beige,"243,242,241",4
CTPFVQNGFCRGYK2H,data\images\CTPFVQNGFCRGYK2H.jpeg,white,"252,252,251",1
CTPFVPN4CUY6QZXD,data\images\CTPFVPN4CUY6QZXD.jpeg,black,"29,27,30",1
CTPFVPMUAHEJX8EW,data\images\CTPFVPMUAHEJX8EW.jpeg,beige,"240,238,240",4
CTPFVPMZV7RCDNVR,data\images\CTPFVPMZV7RCDNVR.jpeg,white,"252,250,250",0
CTPFVZT46SYT5GTB,data\images\CTPFVZT46SYT5GTB.jpeg,white,"252,252,252",1
CTPFVZT9ZYJB4WJZ,data\images\CTPFVZT9ZYJB4WJZ.jpeg,black,"40,30,35",1
CTPFVTZ9GYNEDU54,data\images\CTPFVTZ9GYNEDU54.jpeg,white,"253,252,253",1
CTPFVZTZNFBGXUMD,data\images\CTPFVZTZNFBGXUMD.jpeg,white,"252,251,252",1
CTPFVZTBCHWHDMGJ,data\images\CTPFVZTBCHWHDMGJ.jpeg,white,"251,252,252",1
CTPFVQSGZGPHUEFX,data\images\CTPFVQSGZGPHUEFX.jpeg,white,"248,247,248",4
CTPFVZTBN4GRZKXH,data\images\CTPFVZTBN4GRZKXH.jpeg,white,"253,251,251",1
CTPFVZTKAE4MZ8VM,data\images\CTPFVZTKAE4MZ8VM.jpeg,white,"251,250,251",1
CTPFVPKKWBZUCH7Y,data\images\CTPFVPKKWBZUCH7Y.jpeg,white,"252,252,251",0
CTPFVZGY4PQHQNFH,data\images\CTPFVZGY4PQHQNFH.jpeg,white,"251,251,250",1
CTPFVPH2JGZRW6FV,data\images\CTPFVPH2JGZRW6FV.jpeg,white,"251,250,251",0
CTPFVPKJUJDPNCCR,data\images\CTPFVPKJUJDPNCCR.jpeg,white,"251,250,250",0
CTPFVPJZKBVGK2FV,data\images\CTPFVPJZKBVGK2FV.jpeg,white,"246,245,246",4
CTPFVSXYFFS9XHDG,data\images\CTPFVSXYFFS9XHDG.jpeg,white,"252,252,251",0
CTPFVZTHJZUD3JTX,data\images\CTPFVZTHJZUD3JTX.jpeg,white,"251,250,251",0
CTPFVZHVZVU4VQW9,data\images\CTPFVZHVZVU4VQW9.jpeg,white,"252,252,252",1
CTPFVZT6GAFZ7BJX,data\images\CTPFVZT6GAFZ7BJX.jpeg,white,"253,253,253",1
CTPFVZT2F5UPM4YT,data\images\CTPFVZT2F5UPM4YT.jpeg,white,"252,251,252",1
CTPFVPFPUWYQC9M5,data\images\CTPFVPFPUWYQC9M5.jpeg,white,"252,251,250",0
CTPFVPFPHGWGF6DS,data\images\CTPFVPFPHGWGF6DS.jpeg,white,"251,251,251",0
CTPFVHUJMZSAHPFG,data\images\CTPFVHUJMZSAHPFG.jpeg,white,"251,251,250",0
CTPFVPDB593WABGP,data\images\CTPFVPDB593WABGP.jpeg,white,"251,251,250",0
CTPFVPHAGX8YA7RD,data\images\CTPFVPHAGX8YA7RD.jpeg,white,"251,250,250",0
CTPFVPGPW8DU3XJF,data\images\CTPFVPGPW8DU3XJF.jpeg,white,"252,252,252",0
CTPFVPGH5AGD8PZX,data\images\CTPFVPGH5AGD8PZX.jpeg,white,"252,252,251",0
CTPFVPGMZ6GTZNZH,data\images\CTPFVPGMZ6GTZNZH.jpeg,white,"251,251,251",0
CTPFVPJ7HY68S45F,data\images\CTPFVPJ7HY68S45F.jpeg,white,"252,252,251",0
CTPFWYNJF8KMYKWG,data\images\CTPFWYNJF8KMYKWG.jpeg,white,"251,251,250",0
CTPFVSU95M2RQUCM,data\images\CTPFVSU95M2RQUCM.jpeg,white,"252,252,252",0
CTPFVPKG8EMXFHMV,data\images\CTPFVPKG8EMXFHMV.jpeg,white,"252,251,251",0
CTPFVSXF9FNZGKXP,data\images\CTPFVSXF9FNZGKXP.jpeg,white,"252,251,250",0
CTPFVZTBFX56AB3T,data\images\CTPFVZTBFX56AB3T.jpeg,white,"253,252,252",1
